Training for 378151 steps ...
    267/378151: episode: 1, duration: 0.790s, episode steps: 267, steps per second: 338, episode reward: 41.651, mean reward:  0.156 [-0.005,  0.310], mean action: 14.315 [0.000, 31.000],  loss: --, mae: --, mean_q: --
    534/378151: episode: 2, duration: 0.495s, episode steps: 267, steps per second: 539, episode reward: 79.893, mean reward:  0.299 [-0.005,  0.399], mean action: 16.026 [0.000, 31.000],  loss: --, mae: --, mean_q: --
    803/378151: episode: 3, duration: 0.580s, episode steps: 269, steps per second: 464, episode reward: 58.603, mean reward:  0.218 [-0.005,  0.390], mean action: 15.048 [0.000, 31.000],  loss: --, mae: --, mean_q: --
   1070/378151: episode: 4, duration: 2.308s, episode steps: 267, steps per second: 116, episode reward: 58.244, mean reward:  0.218 [-0.005,  0.430], mean action: 15.539 [0.000, 31.000],  loss: 0.035034, mae: 0.578231, mean_q: 0.833229
   1132/378151: episode: 5, duration: 0.733s, episode steps:  62, steps per second:  85, episode reward: 15.617, mean reward:  0.252 [-0.005,  0.451], mean action: 16.565 [0.000, 31.000],  loss: 0.013348, mae: 0.719455, mean_q: 0.924340
   1374/378151: episode: 6, duration: 2.640s, episode steps: 242, steps per second:  92, episode reward: 73.637, mean reward:  0.304 [-0.005,  0.432], mean action: 16.591 [0.000, 31.000],  loss: 0.015328, mae: 1.251692, mean_q: 1.527161
   1559/378151: episode: 7, duration: 2.086s, episode steps: 185, steps per second:  89, episode reward: 80.567, mean reward:  0.435 [-0.005,  0.564], mean action: 15.270 [0.000, 31.000],  loss: 0.024164, mae: 2.127818, mean_q: 2.491108
   1738/378151: episode: 8, duration: 1.889s, episode steps: 179, steps per second:  95, episode reward: 44.564, mean reward:  0.249 [-0.005,  0.458], mean action: 14.402 [0.000, 31.000],  loss: 0.033167, mae: 2.926871, mean_q: 3.354770
   1986/378151: episode: 9, duration: 2.818s, episode steps: 248, steps per second:  88, episode reward: 80.154, mean reward:  0.323 [-0.005,  0.452], mean action: 15.637 [0.000, 31.000],  loss: 0.045650, mae: 3.864818, mean_q: 4.367276
   2057/378151: episode: 10, duration: 0.730s, episode steps:  71, steps per second:  97, episode reward: 16.990, mean reward:  0.239 [-0.005,  0.381], mean action: 15.042 [0.000, 31.000],  loss: 0.067254, mae: 4.550781, mean_q: 5.096541
   2327/378151: episode: 11, duration: 3.001s, episode steps: 270, steps per second:  90, episode reward: 89.842, mean reward:  0.333 [-0.005,  0.530], mean action: 15.519 [0.000, 31.000],  loss: 0.070095, mae: 5.204103, mean_q: 5.744571
   2457/378151: episode: 12, duration: 1.432s, episode steps: 130, steps per second:  91, episode reward: 43.884, mean reward:  0.338 [ 0.059,  0.504], mean action: 14.738 [0.000, 31.000],  loss: 0.077505, mae: 6.021580, mean_q: 6.655210
   2724/378151: episode: 13, duration: 2.886s, episode steps: 267, steps per second:  93, episode reward: 81.907, mean reward:  0.307 [-0.005,  0.407], mean action: 16.300 [0.000, 31.000],  loss: 0.105727, mae: 6.935663, mean_q: 7.633445
   2925/378151: episode: 14, duration: 2.253s, episode steps: 201, steps per second:  89, episode reward: 48.537, mean reward:  0.241 [-0.005,  0.513], mean action: 15.289 [0.000, 31.000],  loss: 0.160355, mae: 8.004710, mean_q: 8.786848
