Training for 378151 steps ...
    149/378151: episode: 1, duration: 0.668s, episode steps: 149, steps per second: 223, episode reward: 26.741, mean reward:  0.179 [-0.005,  0.304], mean action: 15.960 [0.000, 31.000],  loss: --, mae: --, mean_q: --
    416/378151: episode: 2, duration: 0.452s, episode steps: 267, steps per second: 591, episode reward: 67.751, mean reward:  0.254 [-0.005,  0.523], mean action: 15.322 [0.000, 31.000],  loss: --, mae: --, mean_q: --
    592/378151: episode: 3, duration: 0.270s, episode steps: 176, steps per second: 653, episode reward: 25.994, mean reward:  0.148 [-0.005,  0.323], mean action: 16.040 [0.000, 31.000],  loss: --, mae: --, mean_q: --
    674/378151: episode: 4, duration: 0.105s, episode steps:  82, steps per second: 779, episode reward: 28.098, mean reward:  0.343 [ 0.137,  0.497], mean action: 16.561 [0.000, 31.000],  loss: --, mae: --, mean_q: --
    909/378151: episode: 5, duration: 0.364s, episode steps: 235, steps per second: 645, episode reward: 65.098, mean reward:  0.277 [-0.005,  0.472], mean action: 16.532 [0.000, 31.000],  loss: --, mae: --, mean_q: --
   1067/378151: episode: 6, duration: 1.124s, episode steps: 158, steps per second: 141, episode reward: 51.691, mean reward:  0.327 [-0.005,  0.453], mean action: 13.348 [0.000, 31.000],  loss: 0.035150, mae: 0.535834, mean_q: 0.801143
   1334/378151: episode: 7, duration: 2.623s, episode steps: 267, steps per second: 102, episode reward: 99.628, mean reward:  0.373 [-0.005,  0.524], mean action: 15.210 [0.000, 31.000],  loss: 0.015244, mae: 1.087274, mean_q: 1.357289
   1414/378151: episode: 8, duration: 0.883s, episode steps:  80, steps per second:  91, episode reward: 27.291, mean reward:  0.341 [-0.005,  0.437], mean action: 17.538 [1.000, 31.000],  loss: 0.017914, mae: 1.746324, mean_q: 2.063707
   1439/378151: episode: 9, duration: 0.250s, episode steps:  25, steps per second: 100, episode reward:  5.783, mean reward:  0.231 [-0.005,  0.386], mean action: 15.360 [0.000, 28.000],  loss: 0.019051, mae: 1.988754, mean_q: 2.336089
   1682/378151: episode: 10, duration: 2.376s, episode steps: 243, steps per second: 102, episode reward: 105.393, mean reward:  0.434 [-0.005,  0.658], mean action: 15.374 [0.000, 31.000],  loss: 0.023274, mae: 2.548702, mean_q: 2.960518
   1763/378151: episode: 11, duration: 0.841s, episode steps:  81, steps per second:  96, episode reward: 24.923, mean reward:  0.308 [ 0.116,  0.376], mean action: 15.642 [0.000, 31.000],  loss: 0.031164, mae: 3.272224, mean_q: 3.680640
   1842/378151: episode: 12, duration: 0.781s, episode steps:  79, steps per second: 101, episode reward: 11.824, mean reward:  0.150 [-0.005,  0.342], mean action: 16.152 [0.000, 31.000],  loss: 0.041847, mae: 3.616017, mean_q: 4.066792
   2081/378151: episode: 13, duration: 2.407s, episode steps: 239, steps per second:  99, episode reward: 101.103, mean reward:  0.423 [-0.005,  0.644], mean action: 15.423 [0.000, 31.000],  loss: 0.044874, mae: 4.281796, mean_q: 4.762602
   2348/378151: episode: 14, duration: 2.621s, episode steps: 267, steps per second: 102, episode reward: 122.433, mean reward:  0.459 [ 0.017,  0.631], mean action: 15.210 [0.000, 31.000],  loss: 0.058143, mae: 5.417037, mean_q: 5.996645
   2615/378151: episode: 15, duration: 2.690s, episode steps: 267, steps per second:  99, episode reward: 122.978, mean reward:  0.461 [-0.005,  0.615], mean action: 15.071 [0.000, 31.000],  loss: 0.067665, mae: 6.706024, mean_q: 7.399576
   2717/378151: episode: 16, duration: 1.025s, episode steps: 102, steps per second: 100, episode reward: 28.215, mean reward:  0.277 [ 0.087,  0.356], mean action: 15.275 [0.000, 31.000],  loss: 0.123355, mae: 7.571249, mean_q: 8.297958
   2828/378151: episode: 17, duration: 1.131s, episode steps: 111, steps per second:  98, episode reward: 45.538, mean reward:  0.410 [-0.005,  0.485], mean action: 15.991 [0.000, 31.000],  loss: 0.113481, mae: 8.128590, mean_q: 8.911110
   3095/378151: episode: 18, duration: 2.665s, episode steps: 267, steps per second: 100, episode reward: 109.162, mean reward:  0.409 [ 0.064,  0.462], mean action: 15.794 [0.000, 31.000],  loss: 0.171012, mae: 9.141717, mean_q: 10.013672
   3293/378151: episode: 19, duration: 1.994s, episode steps: 198, steps per second:  99, episode reward: 64.784, mean reward:  0.327 [-0.005,  0.462], mean action: 14.778 [0.000, 31.000],  loss: 0.259139, mae: 10.446449, mean_q: 11.467002
   3560/378151: episode: 20, duration: 2.647s, episode steps: 267, steps per second: 101, episode reward: 133.439, mean reward:  0.500 [-0.005,  0.650], mean action: 15.592 [0.000, 31.000],  loss: 0.293138, mae: 11.736402, mean_q: 12.858108
   3592/378151: episode: 21, duration: 0.323s, episode steps:  32, steps per second:  99, episode reward:  5.954, mean reward:  0.186 [-0.005,  0.321], mean action: 15.781 [0.000, 31.000],  loss: 0.216837, mae: 12.699924, mean_q: 13.893456
   3712/378151: episode: 22, duration: 1.188s, episode steps: 120, steps per second: 101, episode reward: 42.878, mean reward:  0.357 [-0.005,  0.502], mean action: 14.708 [0.000, 31.000],  loss: 0.311130, mae: 13.179782, mean_q: 14.451113
   3748/378151: episode: 23, duration: 0.357s, episode steps:  36, steps per second: 101, episode reward:  5.611, mean reward:  0.156 [-0.005,  0.308], mean action: 15.389 [0.000, 30.000],  loss: 0.467932, mae: 13.636508, mean_q: 15.010651
   3814/378151: episode: 24, duration: 0.692s, episode steps:  66, steps per second:  95, episode reward: 11.025, mean reward:  0.167 [-0.005,  0.309], mean action: 15.621 [0.000, 31.000],  loss: 0.495679, mae: 13.872199, mean_q: 15.146108
