Training for 378151 steps ...
     78/378151: episode: 1, duration: 0.190s, episode steps:  78, steps per second: 410, episode reward: 23.793, mean reward:  0.305 [-0.005,  0.470], mean action: 15.397 [0.000, 31.000],  loss: --, mae: --, mean_q: --
    118/378151: episode: 2, duration: 0.045s, episode steps:  40, steps per second: 885, episode reward:  5.212, mean reward:  0.130 [-0.005,  0.315], mean action: 17.600 [1.000, 31.000],  loss: --, mae: --, mean_q: --
    306/378151: episode: 3, duration: 0.262s, episode steps: 188, steps per second: 719, episode reward: 75.360, mean reward:  0.401 [-0.005,  0.540], mean action: 15.548 [0.000, 31.000],  loss: --, mae: --, mean_q: --
    441/378151: episode: 4, duration: 0.200s, episode steps: 135, steps per second: 675, episode reward: 50.703, mean reward:  0.376 [-0.005,  0.497], mean action: 16.385 [0.000, 31.000],  loss: --, mae: --, mean_q: --
    617/378151: episode: 5, duration: 0.251s, episode steps: 176, steps per second: 700, episode reward: 52.408, mean reward:  0.298 [-0.005,  0.646], mean action: 15.244 [0.000, 31.000],  loss: --, mae: --, mean_q: --
    699/378151: episode: 6, duration: 0.135s, episode steps:  82, steps per second: 609, episode reward:  9.373, mean reward:  0.114 [-0.005,  0.312], mean action: 14.598 [0.000, 31.000],  loss: --, mae: --, mean_q: --
    869/378151: episode: 7, duration: 0.214s, episode steps: 170, steps per second: 795, episode reward: 54.655, mean reward:  0.321 [-0.005,  0.486], mean action: 16.176 [0.000, 31.000],  loss: --, mae: --, mean_q: --
   1138/378151: episode: 8, duration: 1.813s, episode steps: 269, steps per second: 148, episode reward: 105.419, mean reward:  0.392 [-0.005,  0.524], mean action: 15.755 [0.000, 31.000],  loss: 0.031183, mae: 0.863795, mean_q: 1.153853
   1405/378151: episode: 9, duration: 2.538s, episode steps: 267, steps per second: 105, episode reward: 123.075, mean reward:  0.461 [-0.005,  0.648], mean action: 15.858 [0.000, 31.000],  loss: 0.018916, mae: 1.738571, mean_q: 2.038988
   1672/378151: episode: 10, duration: 2.500s, episode steps: 267, steps per second: 107, episode reward: 47.652, mean reward:  0.178 [-0.005,  0.308], mean action: 15.131 [0.000, 31.000],  loss: 0.025709, mae: 2.925679, mean_q: 3.291566
   1939/378151: episode: 11, duration: 2.552s, episode steps: 267, steps per second: 105, episode reward: 111.895, mean reward:  0.419 [ 0.087,  0.510], mean action: 15.824 [0.000, 31.000],  loss: 0.041524, mae: 4.123205, mean_q: 4.588240
   2069/378151: episode: 12, duration: 1.254s, episode steps: 130, steps per second: 104, episode reward: 34.112, mean reward:  0.262 [-0.005,  0.453], mean action: 17.208 [0.000, 31.000],  loss: 0.068330, mae: 5.064132, mean_q: 5.609395
   2205/378151: episode: 13, duration: 1.257s, episode steps: 136, steps per second: 108, episode reward: 31.641, mean reward:  0.233 [-0.005,  0.339], mean action: 17.441 [0.000, 31.000],  loss: 0.078255, mae: 5.697093, mean_q: 6.326396
   2255/378151: episode: 14, duration: 0.521s, episode steps:  50, steps per second:  96, episode reward:  9.795, mean reward:  0.196 [-0.005,  0.312], mean action: 16.860 [0.000, 31.000],  loss: 0.115515, mae: 6.123013, mean_q: 6.789647
   2380/378151: episode: 15, duration: 1.211s, episode steps: 125, steps per second: 103, episode reward: 23.271, mean reward:  0.186 [-0.005,  0.311], mean action: 15.352 [0.000, 31.000],  loss: 0.105549, mae: 6.477939, mean_q: 7.189600
   2445/378151: episode: 16, duration: 0.597s, episode steps:  65, steps per second: 109, episode reward:  8.278, mean reward:  0.127 [-0.005,  0.322], mean action: 14.677 [0.000, 31.000],  loss: 0.085582, mae: 6.923320, mean_q: 7.608343
