Training for 378151 steps ...
     30/378151: episode: 1, duration: 0.135s, episode steps:  30, steps per second: 222, episode reward:  4.710, mean reward:  0.157 [-0.005,  0.330], mean action: 15.600 [1.000, 31.000],  loss: --, mae: --, mean_q: --
    154/378151: episode: 2, duration: 0.199s, episode steps: 124, steps per second: 622, episode reward: 21.211, mean reward:  0.171 [-0.005,  0.307], mean action: 15.548 [0.000, 31.000],  loss: --, mae: --, mean_q: --
    246/378151: episode: 3, duration: 0.102s, episode steps:  92, steps per second: 898, episode reward: 33.246, mean reward:  0.361 [-0.005,  0.490], mean action: 15.337 [0.000, 31.000],  loss: --, mae: --, mean_q: --
    513/378151: episode: 4, duration: 0.425s, episode steps: 267, steps per second: 628, episode reward: 103.232, mean reward:  0.387 [-0.005,  0.568], mean action: 14.262 [0.000, 31.000],  loss: --, mae: --, mean_q: --
    529/378151: episode: 5, duration: 0.021s, episode steps:  16, steps per second: 770, episode reward:  2.492, mean reward:  0.156 [ 0.047,  0.314], mean action: 13.938 [2.000, 30.000],  loss: --, mae: --, mean_q: --
    646/378151: episode: 6, duration: 0.191s, episode steps: 117, steps per second: 613, episode reward: 28.337, mean reward:  0.242 [-0.005,  0.368], mean action: 16.624 [0.000, 31.000],  loss: --, mae: --, mean_q: --
    774/378151: episode: 7, duration: 0.145s, episode steps: 128, steps per second: 885, episode reward: 46.184, mean reward:  0.361 [-0.005,  0.501], mean action: 16.555 [0.000, 31.000],  loss: --, mae: --, mean_q: --
   1041/378151: episode: 8, duration: 1.350s, episode steps: 267, steps per second: 198, episode reward: 110.427, mean reward:  0.414 [ 0.017,  0.491], mean action: 16.397 [0.000, 31.000],  loss: 0.058133, mae: 0.856728, mean_q: 1.189728
   1308/378151: episode: 9, duration: 2.553s, episode steps: 267, steps per second: 105, episode reward: 93.645, mean reward:  0.351 [-0.005,  0.520], mean action: 15.674 [0.000, 31.000],  loss: 0.019789, mae: 1.391015, mean_q: 1.633179
   1575/378151: episode: 10, duration: 2.654s, episode steps: 267, steps per second: 101, episode reward: 104.936, mean reward:  0.393 [-0.005,  0.569], mean action: 15.333 [0.000, 31.000],  loss: 0.019175, mae: 2.461315, mean_q: 2.761473
   1686/378151: episode: 11, duration: 1.109s, episode steps: 111, steps per second: 100, episode reward: 34.125, mean reward:  0.307 [ 0.100,  0.426], mean action: 15.775 [0.000, 31.000],  loss: 0.022028, mae: 3.252031, mean_q: 3.618572
   1843/378151: episode: 12, duration: 1.482s, episode steps: 157, steps per second: 106, episode reward: 40.815, mean reward:  0.260 [-0.005,  0.457], mean action: 14.994 [0.000, 31.000],  loss: 0.034885, mae: 3.775093, mean_q: 4.182494
   1863/378151: episode: 13, duration: 0.276s, episode steps:  20, steps per second:  72, episode reward:  5.256, mean reward:  0.263 [ 0.116,  0.329], mean action: 13.000 [2.000, 26.000],  loss: 0.034250, mae: 4.148981, mean_q: 4.556210
   1944/378151: episode: 14, duration: 0.781s, episode steps:  81, steps per second: 104, episode reward: 17.245, mean reward:  0.213 [-0.005,  0.317], mean action: 15.025 [0.000, 31.000],  loss: 0.038460, mae: 4.300680, mean_q: 4.737653
   2092/378151: episode: 15, duration: 1.464s, episode steps: 148, steps per second: 101, episode reward: 39.932, mean reward:  0.270 [-0.005,  0.395], mean action: 17.209 [0.000, 31.000],  loss: 0.042847, mae: 4.750430, mean_q: 5.199800
   2272/378151: episode: 16, duration: 1.751s, episode steps: 180, steps per second: 103, episode reward: 32.010, mean reward:  0.178 [-0.005,  0.402], mean action: 16.878 [0.000, 31.000],  loss: 0.039515, mae: 5.408017, mean_q: 5.893998
   2315/378151: episode: 17, duration: 0.416s, episode steps:  43, steps per second: 103, episode reward:  8.267, mean reward:  0.192 [-0.005,  0.308], mean action: 15.558 [1.000, 31.000],  loss: 0.065600, mae: 5.756193, mean_q: 6.305147
   2582/378151: episode: 18, duration: 2.675s, episode steps: 267, steps per second: 100, episode reward: 84.482, mean reward:  0.316 [-0.005,  0.520], mean action: 15.513 [0.000, 31.000],  loss: 0.072710, mae: 6.446585, mean_q: 7.068135
   2849/378151: episode: 19, duration: 2.562s, episode steps: 267, steps per second: 104, episode reward: 136.784, mean reward:  0.512 [ 0.087,  0.628], mean action: 15.476 [0.000, 31.000],  loss: 0.099092, mae: 7.632081, mean_q: 8.356516
   2951/378151: episode: 20, duration: 1.049s, episode steps: 102, steps per second:  97, episode reward: 21.619, mean reward:  0.212 [-0.005,  0.350], mean action: 15.000 [0.000, 31.000],  loss: 0.113810, mae: 8.459441, mean_q: 9.227328
   3130/378151: episode: 21, duration: 1.754s, episode steps: 179, steps per second: 102, episode reward: 49.120, mean reward:  0.274 [-0.005,  0.471], mean action: 15.123 [0.000, 31.000],  loss: 0.156527, mae: 9.070048, mean_q: 9.896643
