Training for 50000 steps ...
   168/50000: episode: 1, duration: 12.278s, episode steps: 168, steps per second:  14, episode reward: 32.223, mean reward:  0.192 [-0.005,  0.353], mean action: 16.357 [0.000, 31.000],  loss: --, mae: --, mean_q: --
   417/50000: episode: 2, duration: 16.458s, episode steps: 249, steps per second:  15, episode reward: 50.231, mean reward:  0.202 [-0.005,  0.368], mean action: 15.249 [0.000, 31.000],  loss: --, mae: --, mean_q: --
   598/50000: episode: 3, duration: 12.340s, episode steps: 181, steps per second:  15, episode reward: 23.639, mean reward:  0.131 [-0.005,  0.312], mean action: 15.994 [0.000, 31.000],  loss: --, mae: --, mean_q: --
   702/50000: episode: 4, duration: 7.270s, episode steps: 104, steps per second:  14, episode reward: 20.360, mean reward:  0.196 [-0.005,  0.307], mean action: 16.952 [0.000, 31.000],  loss: --, mae: --, mean_q: --
   726/50000: episode: 5, duration: 1.784s, episode steps:  24, steps per second:  13, episode reward:  4.967, mean reward:  0.207 [ 0.087,  0.367], mean action: 16.292 [0.000, 31.000],  loss: --, mae: --, mean_q: --
   993/50000: episode: 6, duration: 18.608s, episode steps: 267, steps per second:  14, episode reward: 86.066, mean reward:  0.322 [-0.005,  0.520], mean action: 15.700 [0.000, 31.000],  loss: --, mae: --, mean_q: --
  1260/50000: episode: 7, duration: 22.343s, episode steps: 267, steps per second:  12, episode reward: 56.024, mean reward:  0.210 [-0.005,  0.450], mean action: 14.453 [0.000, 31.000],  loss: 0.018793, mae: 0.632836, mean_q: 0.838054
  1527/50000: episode: 8, duration: 21.713s, episode steps: 267, steps per second:  12, episode reward: 103.547, mean reward:  0.388 [-0.005,  0.547], mean action: 16.124 [0.000, 31.000],  loss: 0.013715, mae: 1.425723, mean_q: 1.717139
  1672/50000: episode: 9, duration: 11.481s, episode steps: 145, steps per second:  13, episode reward: 36.380, mean reward:  0.251 [-0.005,  0.381], mean action: 15.745 [0.000, 31.000],  loss: 0.018571, mae: 2.237076, mean_q: 2.567173
  1762/50000: episode: 10, duration: 7.173s, episode steps:  90, steps per second:  13, episode reward: 22.884, mean reward:  0.254 [ 0.135,  0.353], mean action: 15.578 [0.000, 31.000],  loss: 0.018633, mae: 2.688401, mean_q: 3.032066
  2016/50000: episode: 11, duration: 20.266s, episode steps: 254, steps per second:  13, episode reward: 70.575, mean reward:  0.278 [-0.005,  0.462], mean action: 15.894 [0.000, 31.000],  loss: 0.021380, mae: 3.288778, mean_q: 3.656521
  2212/50000: episode: 12, duration: 15.846s, episode steps: 196, steps per second:  12, episode reward: 89.731, mean reward:  0.458 [ 0.087,  0.658], mean action: 15.199 [0.000, 31.000],  loss: 0.028819, mae: 4.084051, mean_q: 4.498691
  2479/50000: episode: 13, duration: 21.389s, episode steps: 267, steps per second:  12, episode reward: 121.241, mean reward:  0.454 [-0.005,  0.635], mean action: 14.614 [0.000, 31.000],  loss: 0.034984, mae: 4.991993, mean_q: 5.480623
  2506/50000: episode: 14, duration: 2.199s, episode steps:  27, steps per second:  12, episode reward:  3.887, mean reward:  0.144 [-0.005,  0.305], mean action: 16.000 [0.000, 31.000],  loss: 0.044339, mae: 5.594507, mean_q: 6.123806
  2570/50000: episode: 15, duration: 5.194s, episode steps:  64, steps per second:  12, episode reward: 19.244, mean reward:  0.301 [-0.005,  0.495], mean action: 14.953 [0.000, 31.000],  loss: 0.044664, mae: 5.775543, mean_q: 6.303759
  2837/50000: episode: 16, duration: 21.064s, episode steps: 267, steps per second:  13, episode reward: 94.054, mean reward:  0.352 [-0.005,  0.484], mean action: 15.985 [0.000, 31.000],  loss: 0.047041, mae: 6.437080, mean_q: 7.016220
  3044/50000: episode: 17, duration: 16.556s, episode steps: 207, steps per second:  13, episode reward: 55.060, mean reward:  0.266 [-0.005,  0.508], mean action: 15.643 [0.000, 31.000],  loss: 0.092265, mae: 7.329844, mean_q: 7.957017
  3311/50000: episode: 18, duration: 21.847s, episode steps: 267, steps per second:  12, episode reward: 128.994, mean reward:  0.483 [ 0.087,  0.609], mean action: 16.090 [0.000, 31.000],  loss: 0.088543, mae: 8.246098, mean_q: 8.933497
  3369/50000: episode: 19, duration: 4.658s, episode steps:  58, steps per second:  12, episode reward: 20.291, mean reward:  0.350 [ 0.137,  0.481], mean action: 16.448 [1.000, 31.000],  loss: 0.141330, mae: 8.911263, mean_q: 9.625894
  3381/50000: episode: 20, duration: 1.065s, episode steps:  12, steps per second:  11, episode reward:  2.203, mean reward:  0.184 [ 0.017,  0.317], mean action: 19.917 [6.000, 31.000],  loss: 0.108763, mae: 9.034102, mean_q: 9.752798
  3477/50000: episode: 21, duration: 7.839s, episode steps:  96, steps per second:  12, episode reward: 25.390, mean reward:  0.264 [-0.005,  0.413], mean action: 14.969 [0.000, 31.000],  loss: 0.114146, mae: 9.272107, mean_q: 10.016376
  3496/50000: episode: 22, duration: 1.616s, episode steps:  19, steps per second:  12, episode reward:  3.603, mean reward:  0.190 [-0.005,  0.325], mean action: 17.947 [4.000, 29.000],  loss: 0.147233, mae: 9.450308, mean_q: 10.162068
  3569/50000: episode: 23, duration: 5.975s, episode steps:  73, steps per second:  12, episode reward: 18.865, mean reward:  0.258 [-0.005,  0.400], mean action: 14.123 [0.000, 31.000],  loss: 0.104412, mae: 9.723229, mean_q: 10.441548
  3624/50000: episode: 24, duration: 4.719s, episode steps:  55, steps per second:  12, episode reward:  9.072, mean reward:  0.165 [-0.005,  0.357], mean action: 15.909 [0.000, 30.000],  loss: 0.073241, mae: 9.949172, mean_q: 10.732319
  3698/50000: episode: 25, duration: 6.085s, episode steps:  74, steps per second:  12, episode reward: 17.697, mean reward:  0.239 [-0.005,  0.368], mean action: 15.541 [0.000, 31.000],  loss: 0.069442, mae: 10.199094, mean_q: 10.959354
  3800/50000: episode: 26, duration: 8.398s, episode steps: 102, steps per second:  12, episode reward: 30.515, mean reward:  0.299 [-0.005,  0.495], mean action: 14.931 [0.000, 30.000],  loss: 0.108971, mae: 10.552027, mean_q: 11.361337
  3820/50000: episode: 27, duration: 1.659s, episode steps:  20, steps per second:  12, episode reward:  4.685, mean reward:  0.234 [ 0.116,  0.304], mean action: 17.100 [1.000, 31.000],  loss: 0.123861, mae: 10.753722, mean_q: 11.584490
