Training for 50000 steps ...
   196/50000: episode: 1, duration: 13.012s, episode steps: 196, steps per second:  15, episode reward: 32.340, mean reward:  0.165 [-0.005,  0.357], mean action: 15.974 [0.000, 31.000],  loss: --, mae: --, mean_q: --
   272/50000: episode: 2, duration: 5.038s, episode steps:  76, steps per second:  15, episode reward: 21.597, mean reward:  0.284 [-0.005,  0.372], mean action: 14.789 [0.000, 31.000],  loss: --, mae: --, mean_q: --
   539/50000: episode: 3, duration: 17.548s, episode steps: 267, steps per second:  15, episode reward: 76.848, mean reward:  0.288 [-0.005,  0.501], mean action: 15.682 [0.000, 31.000],  loss: --, mae: --, mean_q: --
   647/50000: episode: 4, duration: 7.131s, episode steps: 108, steps per second:  15, episode reward: 15.396, mean reward:  0.143 [-0.005,  0.378], mean action: 14.630 [0.000, 31.000],  loss: --, mae: --, mean_q: --
   914/50000: episode: 5, duration: 17.501s, episode steps: 267, steps per second:  15, episode reward: 54.753, mean reward:  0.205 [-0.005,  0.369], mean action: 14.910 [0.000, 31.000],  loss: --, mae: --, mean_q: --
  1080/50000: episode: 6, duration: 12.396s, episode steps: 166, steps per second:  13, episode reward: 30.930, mean reward:  0.186 [-0.005,  0.320], mean action: 15.127 [0.000, 31.000],  loss: 0.053874, mae: 0.482206, mean_q: 0.815103
  1176/50000: episode: 7, duration: 7.467s, episode steps:  96, steps per second:  13, episode reward: 33.067, mean reward:  0.344 [-0.005,  0.473], mean action: 16.792 [0.000, 31.000],  loss: 0.014038, mae: 0.586174, mean_q: 0.788062
  1382/50000: episode: 8, duration: 15.945s, episode steps: 206, steps per second:  13, episode reward: 77.772, mean reward:  0.378 [-0.005,  0.571], mean action: 16.233 [0.000, 31.000],  loss: 0.013159, mae: 1.072293, mean_q: 1.335993
  1425/50000: episode: 9, duration: 3.377s, episode steps:  43, steps per second:  13, episode reward:  7.661, mean reward:  0.178 [-0.005,  0.331], mean action: 15.047 [1.000, 29.000],  loss: 0.015519, mae: 1.554209, mean_q: 1.842854
  1477/50000: episode: 10, duration: 4.083s, episode steps:  52, steps per second:  13, episode reward:  9.959, mean reward:  0.192 [-0.005,  0.321], mean action: 14.942 [0.000, 31.000],  loss: 0.016052, mae: 1.715743, mean_q: 2.033994
  1503/50000: episode: 11, duration: 2.089s, episode steps:  26, steps per second:  12, episode reward:  3.797, mean reward:  0.146 [-0.005,  0.305], mean action: 13.769 [1.000, 30.000],  loss: 0.014540, mae: 1.842374, mean_q: 2.112927
  1525/50000: episode: 12, duration: 1.767s, episode steps:  22, steps per second:  12, episode reward:  4.729, mean reward:  0.215 [ 0.017,  0.312], mean action: 20.227 [2.000, 31.000],  loss: 0.020404, mae: 1.895721, mean_q: 2.232002
  1792/50000: episode: 13, duration: 20.632s, episode steps: 267, steps per second:  13, episode reward: 114.850, mean reward:  0.430 [-0.005,  0.611], mean action: 15.719 [0.000, 31.000],  loss: 0.021510, mae: 2.490563, mean_q: 2.857419
  2059/50000: episode: 14, duration: 20.648s, episode steps: 267, steps per second:  13, episode reward: 64.038, mean reward:  0.240 [-0.005,  0.416], mean action: 15.588 [0.000, 31.000],  loss: 0.039923, mae: 3.590570, mean_q: 4.056169
  2102/50000: episode: 15, duration: 3.383s, episode steps:  43, steps per second:  13, episode reward:  6.126, mean reward:  0.142 [-0.005,  0.328], mean action: 16.605 [2.000, 31.000],  loss: 0.061205, mae: 4.260527, mean_q: 4.791903
  2165/50000: episode: 16, duration: 4.926s, episode steps:  63, steps per second:  13, episode reward: 13.349, mean reward:  0.212 [-0.005,  0.359], mean action: 18.968 [0.000, 31.000],  loss: 0.053604, mae: 4.464962, mean_q: 4.974218
  2432/50000: episode: 17, duration: 20.620s, episode steps: 267, steps per second:  13, episode reward: 56.416, mean reward:  0.211 [-0.005,  0.433], mean action: 14.730 [0.000, 31.000],  loss: 0.067125, mae: 5.079071, mean_q: 5.640483
  2699/50000: episode: 18, duration: 20.693s, episode steps: 267, steps per second:  13, episode reward: 77.367, mean reward:  0.290 [-0.005,  0.479], mean action: 14.524 [0.000, 31.000],  loss: 0.105145, mae: 6.263755, mean_q: 6.963679
  2866/50000: episode: 19, duration: 12.966s, episode steps: 167, steps per second:  13, episode reward: 51.457, mean reward:  0.308 [ 0.079,  0.434], mean action: 14.737 [0.000, 31.000],  loss: 0.161730, mae: 7.285133, mean_q: 8.123902
  3133/50000: episode: 20, duration: 20.639s, episode steps: 267, steps per second:  13, episode reward: 96.270, mean reward:  0.361 [-0.005,  0.498], mean action: 16.150 [0.000, 31.000],  loss: 0.198396, mae: 8.535041, mean_q: 9.503059
  3172/50000: episode: 21, duration: 3.080s, episode steps:  39, steps per second:  13, episode reward:  9.804, mean reward:  0.251 [ 0.087,  0.314], mean action: 18.256 [0.000, 31.000],  loss: 0.194312, mae: 9.578825, mean_q: 10.573401
  3225/50000: episode: 22, duration: 4.169s, episode steps:  53, steps per second:  13, episode reward: 11.810, mean reward:  0.223 [-0.005,  0.403], mean action: 16.509 [0.000, 31.000],  loss: 0.304289, mae: 9.729385, mean_q: 10.806047
  3492/50000: episode: 23, duration: 20.640s, episode steps: 267, steps per second:  13, episode reward: 147.163, mean reward:  0.551 [-0.005,  0.653], mean action: 16.150 [0.000, 31.000],  loss: 0.307507, mae: 10.856603, mean_q: 12.051370
  3577/50000: episode: 24, duration: 6.624s, episode steps:  85, steps per second:  13, episode reward: 13.802, mean reward:  0.162 [-0.005,  0.313], mean action: 17.129 [1.000, 31.000],  loss: 0.537156, mae: 12.076737, mean_q: 13.450737
  3697/50000: episode: 25, duration: 9.316s, episode steps: 120, steps per second:  13, episode reward: 52.107, mean reward:  0.434 [-0.005,  0.626], mean action: 16.733 [0.000, 31.000],  loss: 0.339792, mae: 12.819343, mean_q: 14.216865
  3757/50000: episode: 26, duration: 4.693s, episode steps:  60, steps per second:  13, episode reward:  8.525, mean reward:  0.142 [-0.005,  0.311], mean action: 16.583 [0.000, 31.000],  loss: 0.321432, mae: 13.557545, mean_q: 14.983810
  3829/50000: episode: 27, duration: 5.626s, episode steps:  72, steps per second:  13, episode reward: 18.661, mean reward:  0.259 [ 0.137,  0.320], mean action: 15.792 [0.000, 30.000],  loss: 0.661297, mae: 13.935995, mean_q: 15.342854
  3955/50000: episode: 28, duration: 9.787s, episode steps: 126, steps per second:  13, episode reward: 51.815, mean reward:  0.411 [ 0.087,  0.501], mean action: 15.540 [0.000, 31.000],  loss: 0.673585, mae: 14.619836, mean_q: 16.143862
  4222/50000: episode: 29, duration: 20.661s, episode steps: 267, steps per second:  13, episode reward: 140.154, mean reward:  0.525 [ 0.116,  0.649], mean action: 15.206 [0.000, 31.000],  loss: 0.532847, mae: 15.938034, mean_q: 17.499722
  4341/50000: episode: 30, duration: 9.262s, episode steps: 119, steps per second:  13, episode reward: 58.272, mean reward:  0.490 [ 0.116,  0.658], mean action: 15.101 [0.000, 31.000],  loss: 0.680126, mae: 17.276958, mean_q: 18.927931
  4473/50000: episode: 31, duration: 10.255s, episode steps: 132, steps per second:  13, episode reward: 52.331, mean reward:  0.396 [-0.005,  0.656], mean action: 15.477 [0.000, 31.000],  loss: 0.678941, mae: 18.116636, mean_q: 19.844416
  4607/50000: episode: 32, duration: 10.394s, episode steps: 134, steps per second:  13, episode reward: 57.562, mean reward:  0.430 [ 0.087,  0.622], mean action: 15.590 [0.000, 31.000],  loss: 0.935248, mae: 19.167175, mean_q: 21.012735
  4695/50000: episode: 33, duration: 6.843s, episode steps:  88, steps per second:  13, episode reward: 22.532, mean reward:  0.256 [-0.005,  0.471], mean action: 16.614 [0.000, 31.000],  loss: 0.992190, mae: 20.032866, mean_q: 21.863165
  4845/50000: episode: 34, duration: 11.628s, episode steps: 150, steps per second:  13, episode reward: 68.336, mean reward:  0.456 [-0.005,  0.643], mean action: 15.040 [0.000, 31.000],  loss: 0.725210, mae: 20.996986, mean_q: 22.828423
  4945/50000: episode: 35, duration: 7.777s, episode steps: 100, steps per second:  13, episode reward: 40.294, mean reward:  0.403 [ 0.116,  0.470], mean action: 14.830 [0.000, 31.000],  loss: 0.774657, mae: 21.745510, mean_q: 23.654942
  5084/50000: episode: 36, duration: 10.780s, episode steps: 139, steps per second:  13, episode reward: 56.131, mean reward:  0.404 [-0.005,  0.643], mean action: 15.007 [0.000, 31.000],  loss: 1.297352, mae: 22.501143, mean_q: 24.563251
  5174/50000: episode: 37, duration: 7.016s, episode steps:  90, steps per second:  13, episode reward: 32.201, mean reward:  0.358 [-0.005,  0.498], mean action: 15.978 [0.000, 31.000],  loss: 0.889110, mae: 23.600344, mean_q: 25.722811
  5270/50000: episode: 38, duration: 7.482s, episode steps:  96, steps per second:  13, episode reward: 18.009, mean reward:  0.188 [-0.005,  0.307], mean action: 15.802 [0.000, 31.000],  loss: 0.873275, mae: 24.336721, mean_q: 26.427149
  5355/50000: episode: 39, duration: 6.615s, episode steps:  85, steps per second:  13, episode reward: 39.839, mean reward:  0.469 [ 0.137,  0.657], mean action: 16.847 [0.000, 31.000],  loss: 1.057069, mae: 24.924061, mean_q: 27.110535
  5622/50000: episode: 40, duration: 20.654s, episode steps: 267, steps per second:  13, episode reward: 101.077, mean reward:  0.379 [-0.005,  0.454], mean action: 16.663 [0.000, 31.000],  loss: 1.100206, mae: 26.174398, mean_q: 28.312349
  5842/50000: episode: 41, duration: 17.000s, episode steps: 220, steps per second:  13, episode reward: 87.079, mean reward:  0.396 [-0.005,  0.478], mean action: 14.377 [0.000, 31.000],  loss: 1.506419, mae: 28.175095, mean_q: 30.505123
  5898/50000: episode: 42, duration: 4.375s, episode steps:  56, steps per second:  13, episode reward: 19.292, mean reward:  0.345 [ 0.087,  0.470], mean action: 15.268 [0.000, 31.000],  loss: 1.270265, mae: 29.308977, mean_q: 31.823008
  6072/50000: episode: 43, duration: 13.547s, episode steps: 174, steps per second:  13, episode reward: 53.980, mean reward:  0.310 [-0.005,  0.469], mean action: 15.718 [0.000, 31.000],  loss: 2.246761, mae: 29.945408, mean_q: 32.419044
  6161/50000: episode: 44, duration: 6.942s, episode steps:  89, steps per second:  13, episode reward: 26.107, mean reward:  0.293 [ 0.087,  0.469], mean action: 16.506 [0.000, 31.000],  loss: 1.555700, mae: 30.904808, mean_q: 33.492443
  6368/50000: episode: 45, duration: 16.025s, episode steps: 207, steps per second:  13, episode reward: 99.873, mean reward:  0.482 [ 0.133,  0.658], mean action: 14.908 [0.000, 31.000],  loss: 2.066951, mae: 31.957342, mean_q: 34.641285
  6635/50000: episode: 46, duration: 20.639s, episode steps: 267, steps per second:  13, episode reward: 145.966, mean reward:  0.547 [ 0.087,  0.648], mean action: 15.326 [0.000, 31.000],  loss: 2.260081, mae: 33.628891, mean_q: 36.344276
  6902/50000: episode: 47, duration: 20.672s, episode steps: 267, steps per second:  13, episode reward: 94.740, mean reward:  0.355 [-0.005,  0.587], mean action: 15.165 [0.000, 31.000],  loss: 2.494118, mae: 35.548065, mean_q: 38.295593
  7169/50000: episode: 48, duration: 20.742s, episode steps: 267, steps per second:  13, episode reward: 106.959, mean reward:  0.401 [ 0.087,  0.466], mean action: 14.906 [0.000, 31.000],  loss: 2.382756, mae: 37.275074, mean_q: 40.201824
  7268/50000: episode: 49, duration: 7.734s, episode steps:  99, steps per second:  13, episode reward: 37.842, mean reward:  0.382 [-0.005,  0.498], mean action: 12.586 [0.000, 31.000],  loss: 1.949451, mae: 38.827206, mean_q: 41.741703
  7448/50000: episode: 50, duration: 14.017s, episode steps: 180, steps per second:  13, episode reward: 77.722, mean reward:  0.432 [-0.005,  0.658], mean action: 16.017 [0.000, 31.000],  loss: 3.254912, mae: 39.810326, mean_q: 42.792484
  7460/50000: episode: 51, duration: 1.001s, episode steps:  12, steps per second:  12, episode reward:  2.203, mean reward:  0.184 [ 0.087,  0.314], mean action: 16.083 [2.000, 30.000],  loss: 1.296968, mae: 40.384930, mean_q: 43.359493
  7576/50000: episode: 52, duration: 9.042s, episode steps: 116, steps per second:  13, episode reward: 50.184, mean reward:  0.433 [-0.005,  0.619], mean action: 14.500 [0.000, 31.000],  loss: 2.534029, mae: 40.990135, mean_q: 44.139603
