Training for 100000 steps ...
    91/100000: episode: 1, duration: 1.171s, episode steps:  91, steps per second:  78, episode reward:  0.052, mean reward:  0.001 [-0.001,  0.006], mean action: 15.538 [0.000, 31.000],  loss: --, mae: --, mean_q: --
   120/100000: episode: 2, duration: 0.040s, episode steps:  29, steps per second: 732, episode reward:  0.051, mean reward:  0.002 [-0.001,  0.011], mean action: 15.379 [0.000, 31.000],  loss: --, mae: --, mean_q: --
   338/100000: episode: 3, duration: 0.360s, episode steps: 218, steps per second: 606, episode reward:  0.052, mean reward:  0.000 [ 0.000,  0.008], mean action: 15.349 [0.000, 31.000],  loss: --, mae: --, mean_q: --
   605/100000: episode: 4, duration: 0.347s, episode steps: 267, steps per second: 769, episode reward:  0.097, mean reward:  0.000 [ 0.000,  0.012], mean action: 15.614 [0.000, 31.000],  loss: --, mae: --, mean_q: --
   872/100000: episode: 5, duration: 0.304s, episode steps: 267, steps per second: 880, episode reward:  0.198, mean reward:  0.001 [ 0.000,  0.013], mean action: 16.258 [0.000, 31.000],  loss: --, mae: --, mean_q: --
   911/100000: episode: 6, duration: 0.133s, episode steps:  39, steps per second: 293, episode reward:  0.067, mean reward:  0.002 [-0.001,  0.010], mean action: 15.974 [1.000, 30.000],  loss: --, mae: --, mean_q: --
  1178/100000: episode: 7, duration: 1.968s, episode steps: 267, steps per second: 136, episode reward:  0.067, mean reward:  0.000 [ 0.000,  0.006], mean action: 13.337 [0.000, 31.000],  loss: 0.013822, mae: 0.255248, mean_q: 0.444449
  1268/100000: episode: 8, duration: 0.837s, episode steps:  90, steps per second: 108, episode reward:  0.163, mean reward:  0.002 [-0.001,  0.011], mean action: 16.500 [0.000, 31.000],  loss: 0.002731, mae: 0.317385, mean_q: 0.437234
  1535/100000: episode: 9, duration: 2.302s, episode steps: 267, steps per second: 116, episode reward:  0.200, mean reward:  0.001 [ 0.000,  0.011], mean action: 16.019 [0.000, 31.000],  loss: 0.002585, mae: 0.395487, mean_q: 0.506465
  1618/100000: episode: 10, duration: 0.776s, episode steps:  83, steps per second: 107, episode reward:  0.118, mean reward:  0.001 [-0.001,  0.009], mean action: 15.060 [0.000, 31.000],  loss: 0.002512, mae: 0.502984, mean_q: 0.629836
  1768/100000: episode: 11, duration: 1.291s, episode steps: 150, steps per second: 116, episode reward:  0.334, mean reward:  0.002 [-0.001,  0.014], mean action: 16.007 [0.000, 31.000],  loss: 0.004298, mae: 0.600205, mean_q: 0.753145
  1854/100000: episode: 12, duration: 0.759s, episode steps:  86, steps per second: 113, episode reward:  0.068, mean reward:  0.001 [-0.001,  0.007], mean action: 16.279 [0.000, 31.000],  loss: 0.004791, mae: 0.713613, mean_q: 0.889700
  1895/100000: episode: 13, duration: 0.368s, episode steps:  41, steps per second: 111, episode reward:  0.055, mean reward:  0.001 [-0.001,  0.007], mean action: 14.732 [0.000, 30.000],  loss: 0.003959, mae: 0.764095, mean_q: 0.942101
  1959/100000: episode: 14, duration: 0.603s, episode steps:  64, steps per second: 106, episode reward:  0.114, mean reward:  0.002 [-0.001,  0.011], mean action: 16.156 [0.000, 31.000],  loss: 0.004501, mae: 0.826955, mean_q: 1.006192
  2226/100000: episode: 15, duration: 2.305s, episode steps: 267, steps per second: 116, episode reward:  0.191, mean reward:  0.001 [ 0.000,  0.010], mean action: 15.007 [0.000, 31.000],  loss: 0.005553, mae: 0.971653, mean_q: 1.152088
  2287/100000: episode: 16, duration: 0.521s, episode steps:  61, steps per second: 117, episode reward:  0.153, mean reward:  0.003 [-0.001,  0.015], mean action: 14.672 [0.000, 31.000],  loss: 0.004651, mae: 1.122568, mean_q: 1.288301
  2536/100000: episode: 17, duration: 2.236s, episode steps: 249, steps per second: 111, episode reward:  0.071, mean reward:  0.000 [-0.001,  0.009], mean action: 15.181 [0.000, 31.000],  loss: 0.005262, mae: 1.218641, mean_q: 1.392108
  2764/100000: episode: 18, duration: 2.116s, episode steps: 228, steps per second: 108, episode reward:  0.174, mean reward:  0.001 [-0.001,  0.011], mean action: 15.794 [0.000, 31.000],  loss: 0.005111, mae: 1.375835, mean_q: 1.550480
  3031/100000: episode: 19, duration: 2.379s, episode steps: 267, steps per second: 112, episode reward:  0.153, mean reward:  0.001 [ 0.000,  0.011], mean action: 15.524 [0.000, 31.000],  loss: 0.006278, mae: 1.539510, mean_q: 1.730858
  3069/100000: episode: 20, duration: 0.336s, episode steps:  38, steps per second: 113, episode reward:  0.070, mean reward:  0.002 [-0.001,  0.007], mean action: 15.895 [0.000, 31.000],  loss: 0.012601, mae: 1.630904, mean_q: 1.825819
  3336/100000: episode: 21, duration: 2.355s, episode steps: 267, steps per second: 113, episode reward:  0.145, mean reward:  0.001 [ 0.000,  0.011], mean action: 15.978 [0.000, 31.000],  loss: 0.008996, mae: 1.738046, mean_q: 1.948593
  3365/100000: episode: 22, duration: 0.304s, episode steps:  29, steps per second:  95, episode reward:  0.052, mean reward:  0.002 [ 0.000,  0.008], mean action: 16.690 [1.000, 29.000],  loss: 0.009113, mae: 1.863488, mean_q: 2.085016
  3377/100000: episode: 23, duration: 0.118s, episode steps:  12, steps per second: 102, episode reward:  0.060, mean reward:  0.005 [ 0.000,  0.012], mean action: 19.583 [6.000, 30.000],  loss: 0.017274, mae: 1.827955, mean_q: 2.042071
  3644/100000: episode: 24, duration: 2.284s, episode steps: 267, steps per second: 117, episode reward:  0.301, mean reward:  0.001 [ 0.000,  0.014], mean action: 15.142 [0.000, 31.000],  loss: 0.012058, mae: 1.931551, mean_q: 2.149215
  3911/100000: episode: 25, duration: 2.353s, episode steps: 267, steps per second: 113, episode reward:  0.141, mean reward:  0.001 [ 0.000,  0.011], mean action: 15.285 [0.000, 31.000],  loss: 0.013829, mae: 2.080579, mean_q: 2.328730
  4178/100000: episode: 26, duration: 2.356s, episode steps: 267, steps per second: 113, episode reward:  0.059, mean reward:  0.000 [ 0.000,  0.006], mean action: 15.412 [0.000, 31.000],  loss: 0.014850, mae: 2.279753, mean_q: 2.533375
  4213/100000: episode: 27, duration: 0.307s, episode steps:  35, steps per second: 114, episode reward:  0.056, mean reward:  0.002 [-0.001,  0.007], mean action: 15.457 [2.000, 31.000],  loss: 0.015769, mae: 2.418364, mean_q: 2.681908
  4480/100000: episode: 28, duration: 2.347s, episode steps: 267, steps per second: 114, episode reward:  0.133, mean reward:  0.000 [ 0.000,  0.009], mean action: 14.644 [0.000, 31.000],  loss: 0.018532, mae: 2.534024, mean_q: 2.819524
  4586/100000: episode: 29, duration: 0.893s, episode steps: 106, steps per second: 119, episode reward:  0.108, mean reward:  0.001 [-0.001,  0.011], mean action: 15.632 [0.000, 31.000],  loss: 0.015118, mae: 2.720614, mean_q: 3.029411
  4636/100000: episode: 30, duration: 0.486s, episode steps:  50, steps per second: 103, episode reward:  0.105, mean reward:  0.002 [-0.001,  0.011], mean action: 14.980 [0.000, 31.000],  loss: 0.019716, mae: 2.816120, mean_q: 3.120324
  4766/100000: episode: 31, duration: 1.169s, episode steps: 130, steps per second: 111, episode reward:  0.180, mean reward:  0.001 [ 0.000,  0.011], mean action: 16.023 [0.000, 31.000],  loss: 0.026854, mae: 2.856093, mean_q: 3.174397
  4849/100000: episode: 32, duration: 0.745s, episode steps:  83, steps per second: 111, episode reward:  0.182, mean reward:  0.002 [-0.001,  0.010], mean action: 14.530 [0.000, 31.000],  loss: 0.027796, mae: 2.977900, mean_q: 3.294991
  4968/100000: episode: 33, duration: 1.086s, episode steps: 119, steps per second: 110, episode reward:  0.053, mean reward:  0.000 [-0.000,  0.006], mean action: 16.067 [0.000, 31.000],  loss: 0.031621, mae: 3.074764, mean_q: 3.421218
  5040/100000: episode: 34, duration: 0.636s, episode steps:  72, steps per second: 113, episode reward:  0.101, mean reward:  0.001 [-0.001,  0.011], mean action: 16.708 [0.000, 30.000],  loss: 0.030463, mae: 3.200612, mean_q: 3.547243
  5121/100000: episode: 35, duration: 0.739s, episode steps:  81, steps per second: 110, episode reward:  0.119, mean reward:  0.001 [-0.001,  0.010], mean action: 15.136 [0.000, 31.000],  loss: 0.039361, mae: 3.232485, mean_q: 3.585314
  5137/100000: episode: 36, duration: 0.149s, episode steps:  16, steps per second: 108, episode reward:  0.055, mean reward:  0.003 [ 0.000,  0.010], mean action: 19.312 [2.000, 30.000],  loss: 0.014565, mae: 3.301094, mean_q: 3.667173
  5339/100000: episode: 37, duration: 1.831s, episode steps: 202, steps per second: 110, episode reward:  0.362, mean reward:  0.002 [ 0.000,  0.012], mean action: 15.584 [0.000, 31.000],  loss: 0.042582, mae: 3.395168, mean_q: 3.786372
  5384/100000: episode: 38, duration: 0.429s, episode steps:  45, steps per second: 105, episode reward:  0.066, mean reward:  0.001 [ 0.000,  0.011], mean action: 17.222 [0.000, 31.000],  loss: 0.039807, mae: 3.560757, mean_q: 3.960617
  5405/100000: episode: 39, duration: 0.202s, episode steps:  21, steps per second: 104, episode reward:  0.052, mean reward:  0.002 [-0.000,  0.007], mean action: 15.476 [1.000, 26.000],  loss: 0.033109, mae: 3.591927, mean_q: 3.977205
  5487/100000: episode: 40, duration: 0.859s, episode steps:  82, steps per second:  95, episode reward:  0.094, mean reward:  0.001 [-0.001,  0.008], mean action: 14.073 [0.000, 31.000],  loss: 0.044573, mae: 3.672961, mean_q: 4.065926
  5498/100000: episode: 41, duration: 0.118s, episode steps:  11, steps per second:  93, episode reward:  0.054, mean reward:  0.005 [ 0.000,  0.011], mean action: 13.727 [4.000, 22.000],  loss: 0.042771, mae: 3.622604, mean_q: 3.994108
  5538/100000: episode: 42, duration: 0.405s, episode steps:  40, steps per second:  99, episode reward:  0.103, mean reward:  0.003 [-0.001,  0.010], mean action: 17.400 [0.000, 31.000],  loss: 0.028984, mae: 3.678085, mean_q: 4.088265
  5805/100000: episode: 43, duration: 2.401s, episode steps: 267, steps per second: 111, episode reward:  0.046, mean reward:  0.000 [ 0.000,  0.007], mean action: 15.783 [0.000, 31.000],  loss: 0.044874, mae: 3.817249, mean_q: 4.223459
  6072/100000: episode: 44, duration: 2.253s, episode steps: 267, steps per second: 118, episode reward:  0.088, mean reward:  0.000 [ 0.000,  0.015], mean action: 15.315 [0.000, 31.000],  loss: 0.057805, mae: 4.116618, mean_q: 4.576626
