Training for 100000 steps ...
     7/100000: episode: 1, duration: 0.064s, episode steps:   7, steps per second: 109, episode reward:  0.056, mean reward:  0.008 [ 0.002,  0.014], mean action: 16.143 [2.000, 30.000],  loss: --, mae: --, mean_q: --
   274/100000: episode: 2, duration: 0.367s, episode steps: 267, steps per second: 727, episode reward:  0.042, mean reward:  0.000 [ 0.000,  0.007], mean action: 16.030 [0.000, 31.000],  loss: --, mae: --, mean_q: --
   506/100000: episode: 3, duration: 0.280s, episode steps: 232, steps per second: 830, episode reward:  0.067, mean reward:  0.000 [-0.001,  0.010], mean action: 16.543 [0.000, 31.000],  loss: --, mae: --, mean_q: --
   617/100000: episode: 4, duration: 0.171s, episode steps: 111, steps per second: 650, episode reward:  0.067, mean reward:  0.001 [-0.001,  0.010], mean action: 14.712 [0.000, 30.000],  loss: --, mae: --, mean_q: --
   766/100000: episode: 5, duration: 0.160s, episode steps: 149, steps per second: 932, episode reward:  0.139, mean reward:  0.001 [-0.001,  0.013], mean action: 16.423 [0.000, 31.000],  loss: --, mae: --, mean_q: --
   794/100000: episode: 6, duration: 0.078s, episode steps:  28, steps per second: 358, episode reward:  0.051, mean reward:  0.002 [-0.001,  0.007], mean action: 12.964 [1.000, 30.000],  loss: --, mae: --, mean_q: --
  1061/100000: episode: 7, duration: 1.197s, episode steps: 267, steps per second: 223, episode reward:  0.052, mean reward:  0.000 [ 0.000,  0.006], mean action: 15.292 [0.000, 31.000],  loss: 0.025371, mae: 0.174651, mean_q: 0.253034
  1118/100000: episode: 8, duration: 0.503s, episode steps:  57, steps per second: 113, episode reward:  0.059, mean reward:  0.001 [ 0.000,  0.010], mean action: 15.439 [0.000, 31.000],  loss: 0.008400, mae: 0.111259, mean_q: 0.151094
  1158/100000: episode: 9, duration: 0.360s, episode steps:  40, steps per second: 111, episode reward:  0.087, mean reward:  0.002 [-0.001,  0.010], mean action: 18.025 [0.000, 31.000],  loss: 0.006094, mae: 0.095397, mean_q: 0.215159
  1208/100000: episode: 10, duration: 0.487s, episode steps:  50, steps per second: 103, episode reward:  0.086, mean reward:  0.002 [-0.001,  0.012], mean action: 17.920 [1.000, 31.000],  loss: 0.005446, mae: 0.117525, mean_q: 0.282267
  1304/100000: episode: 11, duration: 0.826s, episode steps:  96, steps per second: 116, episode reward:  0.137, mean reward:  0.001 [-0.001,  0.011], mean action: 16.656 [0.000, 31.000],  loss: 0.004461, mae: 0.195413, mean_q: 0.370337
  1499/100000: episode: 12, duration: 1.752s, episode steps: 195, steps per second: 111, episode reward:  0.178, mean reward:  0.001 [ 0.000,  0.011], mean action: 14.913 [0.000, 31.000],  loss: 0.003507, mae: 0.401951, mean_q: 0.594797
  1569/100000: episode: 13, duration: 0.662s, episode steps:  70, steps per second: 106, episode reward:  0.062, mean reward:  0.001 [-0.001,  0.007], mean action: 17.471 [1.000, 31.000],  loss: 0.003728, mae: 0.582409, mean_q: 0.773606
  1645/100000: episode: 14, duration: 0.656s, episode steps:  76, steps per second: 116, episode reward:  0.062, mean reward:  0.001 [-0.001,  0.009], mean action: 17.026 [0.000, 31.000],  loss: 0.003599, mae: 0.662690, mean_q: 0.858761
  1912/100000: episode: 15, duration: 2.393s, episode steps: 267, steps per second: 112, episode reward:  0.231, mean reward:  0.001 [ 0.000,  0.011], mean action: 15.288 [0.000, 31.000],  loss: 0.004271, mae: 0.904327, mean_q: 1.127005
